Question,Answer
What services are provided at no cost to currently registered GVSU students?,"The University provides comprehensive psychological services, including self-help resources, group counseling, individual counseling, referral support and community outreach."
What additional services are offered to the GVSU community besides therapy?,"In addition to clinical services, the University Counseling Center offers provides outreach, self-help tools, consultation, referral support, and emergency services, among others."
How can GVSU students access online self-help tools?,"Self-help tools, including mental health screenings, an online peer support platform, relaxation resources, and more are available on the [link: www.gvsu.edu/counsel, placeholder:University Counseling Center]"
What mental health services are provided to the GVSU community besides therapy?,"In addition to clinical services, the University Counseling Center offers provides outreach, self-help tools, consultation, referral support, and emergency services, among others."
Where should a student call if they have questions?,Questions? Call us at (616) 331-3266.
How can I schedule an appointment?,Ready to schedule an appointment?  Call the University Counseling Center at 616-331-3266 or stop by 206 Student Services during business hours.
Where is the University Counseling Center located?,The University Counseling Center is located at 206 Student services on the Allendale campus and 101 B DeVos on the Pew campus.
In what situations are urgent care services recommended?,"In the case of a mental health emergency, dial 911 or 988 immediately.  The University Counseling Center also offers urgent care services for mental health emergencies.  Students can access urgent care by calling 616-331-3266 or by visiting the University Counseling Center in 206 Student Services during business hours."
How long does an individual counseling session last?,A typical session lasts 45 minutes.
"Is signing up for counseling required for ""Let’s Talk""?","No, students can seek support or consulation from a counselor without having to sign up for counseling."
"Do students need to make appointments for ""Let’s Talk""?","No, students can engage in ""Let’s Talk"" without the need for appointments."
"How does ""Let’s Talk"" differ from regular counseling services?","""Let’s Talk"" allows students to consult one-on-one with a counselor without signing up for counseling."
Can clinicians assist students with accessing gender affirming hormone therapy?,"Yes, University Counseling Center clinicians can conduct assessments and provide letters for gender affirming hormone therapy."
Can clinicians assist students with accessing gender affirming surgery?,"Yes, University Counseling Center clinicians can conduct assessments and provide letters for gender affirming surgery."
What resources are available in the self-help directory?,"Self-help tools, including mental health screenings, an online peer support platform, relaxation resources, and more are available on the University Counseling Center website at www.gvsu.edu/counsel."
Does the University Counseling Center provide letters for gender affirming medical care?,Yes.  
Is mental health counseling a requirement to receive a letter for gender-affirming services?,"No, it is not necessary to participate in mental health counseling to receive a letter for gender affirming hormone therapy and/or surgery. Students are welcome to utilize these services without engaging in mental health counseling."
What standards of care are followed by the UCC in providing gender affirming services?,"The UCC follows the most recent standards of care outlined by the World Professional Association for Transgender Health, ensuring that the services provided align with established guidelines and best practices in the field."
Are letters required for gender affirming hormone therapy?,"Under the informed consent model, some practitioners no longer require a letter for gender affirming hormone therapy.  Practitioners not operating under the informed consent model generally require one letter from a health care provider."
How many letters are required for gender affirming surgery?,"Under the SOC 8, one letter is required, but some medical providers and/or insurance companies may require two or more for certain procedures."
What is the informed consent model in the context of gender affirming medical care?,"The informed consent model involves medical doctors providing gender affirming care without requiring letters, emphasizing the importance of informed decision-making by individuals seeking such care."
When should I inform the University Counseling Center about my interest in a letter for gender affirming care?,"If you know you are interested in a letter for gender affirming care, you can choose to inform the front desk staff when you call to schedule an appointment.  However, you are welcome to share your interest in gender affirming care assessment at any point in your journey with the University Counseling Center."
Is it necessary to let the front desk staff know about my interest in a letter?,"It is not necessary, but you have the option to tell the front desk that you need a letter if you choose.  In that case, the front desk will schedule you for a gender affirming care consultation."
Can I request to be placed directly with a staff member who specializes in writing letters for gender affimring care?,Yes.
What is the benefit of informing the UCC about your interest in gender affirming care?,Informing the UCC allows you to be placed directly with a staff member specializing in gender affirmation services.
Are there specific staff members at the UCC specializing in gender affirmation services?,Yes.
When should you share your interest in gender affirming care with the UCC?,"You are welcome to share your interest in gender affirming care at any point.  If you are in need of letter for gender affirming care and do not need or want mental health services, you can tell the front desk this when you call and be placed directly with one of the clinicians who specialize in gender affirming care.   "
How many sessions does a student usually need to be assessed for a letter?,Students generally meet with a counselor two or more times.
Does the University Counseling Center provide medical advice or care?,"No, clinical staff in the University Counseling Center are not trained medical professionals and do not provide medical advice or care."
Does the UCC recommend specific medical providers?,"No, the UCC does not recommend specific providers but does offer a list of local providers on its gender affirming care website."
What type of care is not provided by the clinical staff at the UCC?,Clinical staff at the UCC do not provide medical advice or care.
What is the Self-Help Directory?,"The Self-Help Directory is a toolkit designed to help you manage various issues during your time at GVSU.  It provides resources, skills, and information to enhance your mental health."
How can the Self-Help Directory assist me?,"The Self-Help Directory can assist you in building skills and identifying resources, stocking your mental health toolkit with helpful ways to take care of yourself through life's ups and downs."
How are the resources in the Self-Help Directory divided?,"The resources in the Self-Help Directory are divided into categories, allowing you to choose how to get started. You can watch videos, read about common concerns, find helpful phone apps, take an online screening, or save links and info to revisit later."
What is Thriving Campus?,Thriving Campus is a database that you can filter to find an off-campus mental health provider in your area that best suits your specific needs.
How can I assess my mental health online?,You can take an online Mental Health Screening to assess your mental health and decide if symptoms you're experiencing require further assistance.
